"Identificador do processo de viagem ";"Número da Proposta (PCDP)";"Sequência Trecho";"Origem - Data";"Origem - País";"Origem - UF";"Origem - Cidade";"Destino - Data";"Destino - País";"Destino - UF";"Destino - Cidade";"Meio de transporte";"Número Diárias";"Missao?"
"0000000000018618107";"000050/23";"1";"09/01/2023";"Brasil";"Rio Grande do Sul";"Passo Fundo";"13/01/2023";"Brasil";"Rio Grande do Sul";"Caxias do Sul";"Rodoviário";"0,00";"Sim"
"0000000000018618107";"000050/23";"2";"13/01/2023";"Brasil";"Rio Grande do Sul";"Caxias do Sul";"13/01/2023";"Brasil";"Rio Grande do Sul";"Passo Fundo";"Rodoviário";"0,00";"Não"
"0000000000018622638";"000113/23";"1";"14/01/2023";"Brasil";"Distrito Federal";"Brasília";"29/01/2023";"Brasil";"São Paulo";"São Paulo";"Aéreo";"0,00";"Sim"
"0000000000018622638";"000113/23";"2";"29/01/2023";"Brasil";"São Paulo";"São Paulo";"29/01/2023";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"0,00";"Não"
"0000000000018622710";"000111/23";"1";"15/01/2023";"Brasil";"Distrito Federal";"Brasília";"15/01/2023";"Brasil";"Ceará";"Jijoca de Jericoacoara";"Aéreo";"0,00";"Não"
"0000000000018622710";"000111/23";"3";"27/01/2023";"Brasil";"Ceará";"Ubajara";"27/01/2023";"Brasil";"Ceará";"Jijoca de Jericoacoara";"Veículo Oficial";"0,00";"Não"
"0000000000018622710";"000111/23";"4";"27/01/2023";"Brasil";"Ceará";"Jijoca de Jericoacoara";"27/01/2023";"Brasil";"Distrito Federal";"Brasília";"Aéreo";"0,00";"Não"
"0000000000018622710";"000111/23";"2";"15/01/2023";"Brasil";"Ceará";"Jijoca de Jericoacoara";"27/01/2023";"Brasil";"Ceará";"Ubajara";"Veículo Oficial";"0,00";"Sim"
"0000000000018622835";"000023/23";"1";"16/07/2023";"Brasil";"Santa Catarina";"Florianópolis";"21/07/2023";"Brasil";"São Paulo";"Ribeirão Preto";"Aéreo";"0,00";"Sim"
"0000000000018622835";"000023/23";"2";"21/07/2023";"Brasil";"São Paulo";"Ribeirão Preto";"21/07/2023";"Brasil";"Santa Catarina";"Florianópolis";"Aéreo";"0,00";"Não"
"0000000000018622952";"000025/23";"1";"16/07/2023";"Brasil";"Santa Catarina";"Florianópolis";"21/07/2023";"Brasil";"São Paulo";"Ribeirão Preto";"Aéreo";"0,00";"Sim"
"0000000000018622952";"000025/23";"2";"21/07/2023";"Brasil";"São Paulo";"Ribeirão Preto";"21/07/2023";"Brasil";"Santa Catarina";"Florianópolis";"Aéreo";"0,00";"Não"
"0000000000018624655";"000148/23";"1";"25/01/2023";"Brasil";"Rio Grande do Sul";"Porto Alegre";"26/01/2023";"Brasil";"Rio Grande do Sul";"Santa Maria";"Veículo Oficial";"0,00";"Sim"
"0000000000018624655";"000148/23";"2";"26/01/2023";"Brasil";"Rio Grande do Sul";"Santa Maria";"26/01/2023";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Veículo Oficial";"0,00";"Não"
